Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,RITC,PMV,PMV Currency,Exim Scheme,NFEI Category,Manufacturer,Manufacturer Addr,Manufacturer CodeType,Manufacturer Code,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SourceState,TransitCntry,End Use,IGST Pay Status,IGST Taxable Amt,IGST Rate,Reward Item,DEEC Regn No,DEEC Regn Date,DEEC Item SNo(Part E),DEEC Export Qty,DEEC Item SNo(Part C),DEEC Item Type,DEEC Item Desc,DEEC Qty,DEEC Unit,EPCG Regn No,EPCG Regn Date,EPCG Item SNo(Part E),EPCG Export Qty,EPCG Item SNo(Part C),EPCG Item Type,EPCG Item Desc,EPCG Qty,EPCG Unit,DBK Sr. No,DBK QTY,DBK Under,DFIA Regn No,DFIA Regn Date,DFIA Exp Item SNo,DFIA Export Qty,DFIA Imp Item SNo,DFIA Item Type,DFIA Item Desc,DFIA Qty,DFIA Unit,DFRC Regn No,DFRC Prod Group,DFRC SION Sr No,DFRC SION IONorm SNo,DFRC Qty,DFRC Unit,DFRC Item Type,DFRC Item Description,DFRC Tech. Details,Re-Exp BE No,Re-Exp BE Date,Re-Exp Inv SNo,Re-Exp Item SNo,Re-Exp Imp Port Code,Re-Exp Manual BE,Re-Exp BE Item Desc.,Re-Exp Qty Imported,Re-Exp Unit,Re-Exp Assessable Value,Re-Exp Tot Duty Paid,Re-Exp Duty Paid On,Re-Exp Qty Exported,Re-Exp Unit,Re-Exp Tech. Details,Re-Exp Input Credit Availed,Re-Exp Personal Use Item,Re-Exp Othr Identifying Params,Re-Exp Obligation No.,Re-Exp DBK Amt. Claimed,Re-Exp Item Un-Used,Re-Exp Commissioner Permission,Re-Exp Board No.,Re-Exp Board Date,Re-Exp MODVAT Availed,Re-Exp MODVAT Reversed,Product Material Code,IGST Amount,TP Exporter Name, TP Exporter IE Code,TP Exporter BrS_No.,TP Exporter  Reg Type,TP Exporter  Reg No,TP Exporter Addr,SQC Qty,SQC Unit,CompCessRate,Origin District,PTAFTA Code,PerNoOfUnitsForItemRate,RoDTEP Status ,RoDTEP QTY,RoDTEP Unit,Medicinal Plant,Formulation,Surface Material in Contact,GST Allowed,LGD Code
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL833123  REINFORCEMENT,51,PCS,EUR,0.85,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,KGS,,490,NCPTI ,,Y,15.66,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL833124  REINFORCEMENT,51,PCS,EUR,0.85,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,KGS,,490,NCPTI ,,Y,15.66,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL833311  DOOR INNER PANEL,80,PCS,EUR,13.74,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.32,KGS,,490,NCPTI ,,Y,372.32,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL833563  HINGE REINF.,102,PCS,EUR,1.1,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21,KGS,,490,NCPTI ,,Y,36.21,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL833564  HINGE REINF.,102,PCS,EUR,1.1,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21,KGS,,490,NCPTI ,,Y,36.21,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JN857509  AIR DEFLECTOR,75,PCS,EUR,1.6,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.73,KGS,,490,NCPTI ,,Y,22.73,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JN863934  DAMPING,8,PCS,EUR,17.78,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.55,KGS,,490,NCPTI ,,Y,21.55,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6R0819465C  ONE-WAY FLAP-TYPE,126,PCS,EUR,0.63,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,KGS,,490,NCPTI ,,Y,7.18,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809702  INSERT,63,PCS,EUR,3.42,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.72,KGS,,490,NCPTI ,,Y,19.72,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL845011C  WINDSHIELD,25,PCS,EUR,41.58,87082200,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48,KGS,,490,NCPTI ,,Y,333.48,KGS,,,,,
